,log2FoldChange,lfcSE
RP5-1119O21.2,0.0127087128800387,0.262396298783779
RP11-295K3.1,0.0127963341128529,0.262397104139594
CTA-989H11.1,0.0132515260604482,0.26688547460417
AC016644.1,0.0127418159818067,0.262395325508543
RP11-963H4.3,0.0611475494620144,0.482570179194564
AC079354.5,0.0772594179662494,0.508410189804356
C3orf36,0.0200037288699991,0.32403688515916695
MDS2,0.0559644041957704,0.471770952125457
CTD-2026K11.5,0.0229769922524349,0.33913977862738803
RP11-6B19.1,0.0507220998579216,0.45902452320855697
MIA2,0.0127632320504778,0.26239808656228897
TEX11,0.0198909141979784,0.322620353727906
CTD-2574D22.2,0.0895554357871781,0.520720357968978
AC002550.5,0.0156005336564726,0.28641958911294
LLfos-48D6.2,0.0128294372159393,0.26239612229687304
CYP2C8,0.025375495892214002,0.354522295122827
RP11-472G23.10,0.0127632320504778,0.26239808656228897
CH17-140K24.5,0.0207010708123786,0.324042350226877
KB-1458E12.1,0.0127963352024761,0.262397113267318
RP11-484L8.1,0.0127418148688523,0.262395316148522
RP11-326C3.13,0.0253752895375901,0.354521068309168
RP11-837J7.4,0.0649796830036236,0.49165476593890706
RP11-253D19.1,0.0281473989357903,0.368861050255372
ZNF32-AS3,0.0128294397221968,0.262396143347072
RP11-83N9.6,0.0437942558864927,0.435632140900948
LINC01206,0.0132515400705599,0.26688560465762196
UGT1A4,0.0127632320504778,0.26239808656228897
RP11-1191J2.2,0.0127632320504778,0.26239808656228897
EDDM3A,0.0127087128800387,0.262396298783779
WASF3-AS1,0.013342569352872,0.26688769049601
AC006160.5,0.0386104261419631,0.416649871254661
PCDHA4,0.0693010792440078,0.49943176072523
KCNH8,0.0738636362034402,0.5055792967165941
RP11-845M18.7,0.0127632320504778,0.26239808656228897
CTB-41I6.2,0.0128294373644597,0.262396123551428
FNDC8,0.0132514853080053,0.26688509515335695
RP11-461O7.1,0.0746113158656963,0.505705088709015
LINC01337,0.015387874281165002,0.286412297282942
RP11-817J15.2,0.0133427896881707,0.266889728819711
CTNNA2,0.0156003427093965,0.28641799257906897
RP11-371F15.3,0.0128625761916973,0.26239547116839895
SERPINC1,0.0380968990153033,0.416645062297389
AC004754.3,0.0535340145408026,0.46567993174820504
ZNF404,0.100612060171491,0.52422185688366
FOXG1,0.020562804366551998,0.32404958146440005
RP11-297P16.3,0.0127632320504778,0.26239808656228897
LINC01031,0.0406625012529739,0.42649709040321
TAAR1,0.0127632320504778,0.26239808656228897
NUTM2B,0.0203063717530084,0.32262918860197304
RP11-317L10.1,0.0331606526928244,0.39455535370205796
CCDC129,0.121863208159748,0.52300357996712
RP11-354E11.2,0.0526872633522663,0.46089089621010104
DEAR,0.0128294377564977,0.262396126842306
RP6-91H8.2,0.0127632320504778,0.26239808656228897
SYP-AS1,0.0156002768790554,0.286417441567218
FNDC7,0.015599979168263,0.286414950647362
XX-C2158C12.2,0.0587575661996627,0.47740352283521104
CTD-2196E14.5,0.0128294372159393,0.26239612229687304
CXorf58,0.0327127078550999,0.39454237277471005
AC144836.1,0.0127632320504778,0.26239808656228897
RP11-442J21.2,0.0435050011206798,0.43563167765263294
RP11-860B13.1,0.0125999780856762,0.262393594300533
SPATA3-AS1,0.0132513631134592,0.266883957905731
XXbac-BPG299F13.14,0.0127632320504778,0.26239808656228897
RP11-1055B8.4,0.0412103578268695,0.4265061846385039
RP11-47P18.2,0.0234946584488591,0.341668154005057
KLHDC7A,0.012796334339890001,0.262397106057395
RP11-31F15.2,0.0801868858373932,0.512942900181718
AHSG,0.0133426554800324,0.266888487274047
